Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SUNCLAY.NS,SUNCLAY.NS,SUNCLAY.NS,SUNCLAY.NS,SUNCLAY.NS,SUNCLAY.NS
Date,,,,,,
2023-12-29 00:00:00+00:00,1506.4813232421875,1511.75,1511.75,1439.800048828125,1439.800048828125,157065
2024-01-01 00:00:00+00:00,1581.76806640625,1587.300048828125,1587.300048828125,1539.699951171875,1540.0,18955
2024-01-02 00:00:00+00:00,1660.841552734375,1666.6500244140625,1666.6500244140625,1600.0,1666.6500244140625,63174
2024-01-03 00:00:00+00:00,1613.7562255859375,1619.4000244140625,1729.9000244140625,1583.3499755859375,1711.0,69735
2024-01-04 00:00:00+00:00,1601.5986328125,1607.199951171875,1642.4000244140625,1580.0,1640.0,47046
2024-01-05 00:00:00+00:00,1575.7391357421875,1581.25,1664.9000244140625,1545.0,1607.199951171875,54198
2024-01-08 00:00:00+00:00,1570.30810546875,1575.800048828125,1620.0,1570.0,1585.0,17033
2024-01-09 00:00:00+00:00,1513.108154296875,1518.4000244140625,1605.0,1510.0,1581.0,22097
2024-01-10 00:00:00+00:00,1507.6771240234375,1512.949951171875,1550.0,1500.0,1530.0,228060
2024-01-11 00:00:00+00:00,1564.0799560546875,1569.550048828125,1588.550048828125,1513.9000244140625,1513.9000244140625,19162
2024-01-12 00:00:00+00:00,1600.6519775390625,1606.25,1783.75,1575.0,1580.0,49857
2024-01-15 00:00:00+00:00,1576.4366455078125,1581.949951171875,1614.5,1552.0999755859375,1614.5,13671
2024-01-16 00:00:00+00:00,1550.1287841796875,1555.550048828125,1619.9000244140625,1541.0,1581.949951171875,7897
2024-01-17 00:00:00+00:00,1559.9443359375,1565.4000244140625,1593.800048828125,1517.449951171875,1517.449951171875,6946
2024-01-19 00:00:00+00:00,1563.48193359375,1568.949951171875,1595.9000244140625,1536.0999755859375,1549.4000244140625,5848
2024-01-23 00:00:00+00:00,1572.4007568359375,1577.9000244140625,1598.0,1560.050048828125,1584.9000244140625,11862
2024-01-24 00:00:00+00:00,1531.7928466796875,1537.1500244140625,1589.9000244140625,1525.0,1579.6500244140625,19012
2024-01-25 00:00:00+00:00,1521.77783203125,1527.0999755859375,1575.949951171875,1525.0,1557.699951171875,22092
2024-01-29 00:00:00+00:00,1577.23388671875,1582.75,1732.699951171875,1562.0,1732.699951171875,24441
2024-01-30 00:00:00+00:00,1519.8843994140625,1525.199951171875,1590.449951171875,1521.0,1582.75,93243
2024-01-31 00:00:00+00:00,1508.1256103515625,1513.4000244140625,1565.949951171875,1497.0999755859375,1525.199951171875,56837
2024-02-01 00:00:00+00:00,1498.9576416015625,1504.199951171875,1541.8499755859375,1497.699951171875,1532.800048828125,17555
2024-02-02 00:00:00+00:00,1532.4903564453125,1537.8499755859375,1555.699951171875,1507.550048828125,1527.449951171875,4361
2024-02-05 00:00:00+00:00,1524.4185791015625,1529.75,1554.949951171875,1508.0,1538.0,12657
2024-02-06 00:00:00+00:00,1516.3966064453125,1521.699951171875,1543.0,1508.0,1540.050048828125,30510
2024-02-07 00:00:00+00:00,1528.4046630859375,1533.75,1567.0,1516.0,1539.25,12712
2024-02-08 00:00:00+00:00,1567.0196533203125,1572.5,1609.9000244140625,1535.25,1555.449951171875,8681
2024-02-09 00:00:00+00:00,1534.6329345703125,1540.0,1572.0,1515.25,1570.0,6230
2024-02-12 00:00:00+00:00,1470.357666015625,1475.5,1522.449951171875,1452.3499755859375,1452.3499755859375,28371
2024-02-13 00:00:00+00:00,1476.78515625,1481.949951171875,1509.949951171875,1463.050048828125,1475.5,27789
2024-02-14 00:00:00+00:00,1506.6805419921875,1511.949951171875,1524.550048828125,1471.449951171875,1485.300048828125,9018
2024-02-15 00:00:00+00:00,1489.54052734375,1494.75,1534.6500244140625,1488.050048828125,1534.6500244140625,7185
2024-02-16 00:00:00+00:00,1493.626220703125,1498.8499755859375,1523.949951171875,1491.8499755859375,1494.75,4530
2024-02-19 00:00:00+00:00,1494.8221435546875,1500.050048828125,1518.449951171875,1496.050048828125,1498.8499755859375,18868
2024-02-20 00:00:00+00:00,1500.7015380859375,1505.949951171875,1518.0,1496.699951171875,1500.0999755859375,16989
2024-02-21 00:00:00+00:00,1506.182373046875,1511.449951171875,1549.0,1495.0999755859375,1518.0,4409
2024-02-22 00:00:00+00:00,1509.670166015625,1514.949951171875,1544.0,1495.5999755859375,1524.25,2272
2024-02-23 00:00:00+00:00,1500.6517333984375,1505.9000244140625,1600.0,1499.949951171875,1599.9000244140625,7894
2024-02-26 00:00:00+00:00,1504.886962890625,1510.1500244140625,1542.0,1482.0999755859375,1490.0,14572
2024-02-27 00:00:00+00:00,1506.830078125,1512.0999755859375,1556.5999755859375,1496.050048828125,1505.949951171875,6672
2024-02-28 00:00:00+00:00,1489.39111328125,1494.5999755859375,1527.949951171875,1490.0999755859375,1498.0,9303
